Serial Number:20430063 --

"Date Time, GMT -0500","Temp, (*C)","Temp - Max, (*C)","Temp - Min, (*C)","Temp - Avg, (*C)","Temp - StdDev, (*C)","RH, (%)","RH - Max, (%)","RH - Min, (%)","RH - Avg, (%)","RH - StdDev, (%)","DewPt, (*C)","Host Connect","EOF"
2018-10-17 12:50:46,"23,68","23,68","23,68","23,68","0,00","63,48","63,48","63,48","63,48","0,00","16,36", , 
2018-10-17 13:12:07, , , , , , , , , , , ,Logged, 
2018-10-17 13:14:42, , , , , , , , , , , ,Logged, 
2018-10-17 13:50:46,"23,51","23,64","23,46","23,64","0,09","64,67","64,67","63,73","63,94","0,55","16,49", , 
2018-10-17 14:50:46,"22,91","23,64","22,86","23,51","0,39","52,97","65,43","52,75","58,60","4,97","12,83", , 
2018-10-17 15:50:46,"22,48","22,95","22,48","22,91","0,26","50,18","52,75","50,18","51,83","0,82","11,61", , 
2018-10-17 16:50:46,"22,52","22,69","22,31","22,48","0,09","49,92","52,43","49,86","50,46","0,57","11,57", , 
2018-10-17 17:50:46,"22,35","22,52","21,96","22,52","0,39","61,10","61,10","49,83","51,77","3,54","14,51", , 
2018-10-17 18:50:46,"23,12","23,12","22,39","22,39","0,39","65,09","66,27","61,59","64,46","1,46","16,22", , 
2018-10-17 19:50:46,"23,94","23,94","23,21","23,21","0,47","64,76","64,76","62,99","63,88","0,52","16,92", , 
2018-10-17 20:50:46,"23,89","24,02","23,89","23,94","0,00","66,54","67,03","65,00","65,91","0,67","17,31", , 
2018-10-17 21:50:46,"23,68","23,94","23,68","23,89","0,09","67,06","67,54","66,18","66,63","0,36","17,22", , 
2018-10-17 22:50:46,"23,55","23,76","23,55","23,76","0,13","67,99","68,53","67,03","67,66","0,54","17,32", , 
2018-10-17 23:50:46,"23,29","23,55","23,29","23,55","0,09","68,95","69,78","67,87","68,35","0,75","17,30", , 
2018-10-18 00:50:46,"23,16","23,34","23,16","23,34","0,09","69,75","69,87","69,24","69,36","0,30","17,36", , 
2018-10-18 01:50:46,"22,99","23,21","22,99","23,16","0,09","69,72","70,35","69,27","69,81","0,33","17,19", , 
2018-10-18 02:50:46,"22,91","23,03","22,86","22,99","0,04","71,98","72,13","69,63","70,20","0,95","17,61", , 
2018-10-18 03:50:46,"22,82","22,91","22,73","22,91","0,04","74,80","74,80","71,98","73,07","1,12","18,14", , 
2018-10-18 04:50:46,"22,69","22,82","22,69","22,78","0,04","75,30","75,42","74,51","74,71","0,38","18,12", , 
2018-10-18 05:50:46,"22,56","22,73","22,52","22,69","0,04","75,21","75,42","74,74","75,33","0,32","17,98", , 
2018-10-18 06:50:46,"22,48","22,56","22,48","22,52","0,00","76,58","76,64","75,21","75,42","0,58","18,18", , 
2018-10-18 07:50:46,"22,52","22,56","22,43","22,48","0,00","77,16","77,22","76,12","76,41","0,47","18,34", , 
2018-10-18 08:50:46,"22,73","22,73","22,52","22,52","0,09","77,22","77,28","77,08","77,16","0,06","18,56", , 
2018-10-18 09:50:46,"23,98","24,24","22,78","22,95","0,94","73,13","78,09","70,53","76,26","1,90","18,89", , 
2018-10-18 10:50:46,"22,13","23,98","22,01","23,72","1,20","61,77","73,13","55,64","61,43","5,70","14,47", , 
2018-10-18 11:41:02, , , , , , , , , , , ,Logged, 
2018-10-18 11:43:09, , , , , , , , , , , ,Logged, 
2018-10-18 11:50:46,"22,13","22,31","22,01","22,18","0,09","56,61","64,21","56,61","60,11","2,35","13,13", , 
2018-10-18 12:50:46,"23,34","23,34","21,70","22,09","0,47","53,54","56,64","51,80","53,69","1,42","13,39", , 
2018-10-18 13:26:48, , , , , , , , , , , ,Logged, 
2018-10-18 13:50:46,"23,25","24,58","23,25","23,42","0,69","52,78","62,41","52,78","57,11","2,69","13,09", , 
2018-10-18 14:50:46,"22,48","23,21","22,39","23,16","0,51","50,18","52,27","49,16","50,88","1,15","11,61", , 
2018-10-18 15:50:46,"25,35","25,35","22,43","23,25","1,33","63,02","63,24","50,43","61,34","3,12","17,83", , 
2018-10-18 16:50:46,"24,79","25,48","24,66","25,39","0,34","54,79","63,05","54,26","58,26","2,59","15,10", , 
2018-10-18 17:50:46,"25,35","25,44","24,84","24,84","0,43","54,57","54,82","54,07","54,60","0,19","15,56", , 
